統一編號,公司名稱,上市,500大
9468343,台灣百和工業股份有限公司,1,0
9497109,迎廣科技股份有限公司,1,0
10913602,福貞控股股份有限公司,1,0
11026506,大同股份有限公司,1,1
11038101,士林紙業股份有限公司,1,0
11039306,士林電機廠股份有限公司,1,1
11052709,三商投資控股股份有限公司,1,1
11059409,大華建設股份有限公司,1,0
11072304,大台北區瓦斯股份有限公司,1,1
11081274,六福開發股份有限公司,1,0
11081991,中央再保險股份有限公司,1,1
11083148,東華合纖股份有限公司,1,0
11085292,中華映管股份有限公司,1,1
11099009,太平洋建設股份有限公司,1,0
11099726,日馳企業股份有限公司,1,0
11113403,中和羊毛工業股份有限公司,1,0
11145904,中華航空股份有限公司,1,1
11147207,中華開發工業銀行股份有限公司,0,1
11166702,永大機電工業股份有限公司,1,0
11311608,利華羊毛工業股份有限公司,1,0
11322915,鳳凰國際旅行社股份有限公司,1,0
11332202,東元電機股份有限公司,1,1
11337775,長榮海運股份有限公司,1,1
11347802,味全食品工業股份有限公司,1,1
11364230,欣欣大眾市場股份有限公司,1,0
11384708,長春人造樹脂廠股份有限公司,0,1
11384806,長春石油化學股份有限公司,0,1
11394902,佳能企業股份有限公司,1,0
11395000,萬海航運股份有限公司,1,1
11455800,恒大股份有限公司,1,0
11456006,南山人壽保險股份有限公司,0,1
11520909,南港輪胎股份有限公司,1,1
11529802,春源鋼鐵工業股份有限公司,1,1
11547230,高林實業股份有限公司,1,0
11551634,恩德科技股份有限公司,1,0
11575002,益華股份有限公司,0,1
11587957,第一華僑大飯店股份有限公司,1,1
11603817,國揚實業股份有限公司,1,1
11636802,國賓大飯店股份有限公司,1,0
11686106,華夏海灣塑膠股份有限公司,1,1
11719802,復興航空運輸股份有限公司,0,1
11762504,新亞建設開發股份有限公司,1,0
11812103,新興航運股份有限公司,1,1
11825825,嘉裕股份有限公司,1,0
11880517,葡萄王生技股份有限公司,1,0
11892801,嘉新水泥股份有限公司,1,1
11893409,台達化學工業股份有限公司,1,0
11912102,台灣紙業股份有限公司,1,0
11913502,臺灣水泥股份有限公司,1,1
11914002,台灣玻璃工業股份有限公司,1,1
11917107,台灣聚合化學品股份有限公司,1,1
11996904,聯華實業股份有限公司,1,1
12029805,寶祥實業建設股份有限公司,0,1
12030606,寶隆國際股份有限公司,1,0
12100285,國際票券金融股份有限公司,0,1
12115702,華經資訊企業股份有限公司,1,0
12132033,元禎企業股份有限公司,1,0
12139612,潤泰創新國際股份有限公司,1,1
12148598,中興保全股份有限公司,1,1
12179563,寶徠建設股份有限公司,1,0
12195466,匯僑股份有限公司,1,0
